Filter, Angle, Step size
 Red, 21, 0.010000

 Proportion of Fayalite, Proportion of Ice_porosity_0.55, Polarization
0, 100, -0.001738
1, 99, -0.001424
2, 98, -0.001108
3, 97, -0.000791
4, 96, -0.000473
5, 95, -0.000153
6, 94, 0.000169
7, 93, 0.000492
8, 92, 0.000817
9, 91, 0.001144
10, 90, 0.001472
11, 89, 0.001802
12, 88, 0.002133
13, 87, 0.002466
14, 86, 0.002801
15, 85, 0.003138
16, 84, 0.003476
17, 83, 0.003816
18, 82, 0.004158
19, 81, 0.004501
20, 80, 0.004846
21, 79, 0.005193
22, 78, 0.005542
23, 77, 0.005893
24, 76, 0.006245
25, 75, 0.006599
26, 74, 0.006955
27, 73, 0.007313
28, 72, 0.007673
29, 71, 0.008035
30, 70, 0.008398
31, 69, 0.008764
32, 68, 0.009131
33, 67, 0.009501
34, 66, 0.009872
35, 65, 0.010246
36, 64, 0.010621
37, 63, 0.010998
38, 62, 0.011378
39, 61, 0.011759
40, 60, 0.012143
41, 59, 0.012528
42, 58, 0.012916
43, 57, 0.013306
44, 56, 0.013698
45, 55, 0.014092
46, 54, 0.014488
47, 53, 0.014887
48, 52, 0.015287
49, 51, 0.015690
50, 50, 0.016095
51, 49, 0.016503
52, 48, 0.016912
53, 47, 0.017324
54, 46, 0.017739
55, 45, 0.018155
56, 44, 0.018574
57, 43, 0.018996
58, 42, 0.019419
59, 41, 0.019845
60, 40, 0.020274
61, 39, 0.020705
62, 38, 0.021139
63, 37, 0.021575
64, 36, 0.022013
65, 35, 0.022454
66, 34, 0.022898
67, 33, 0.023344
68, 32, 0.023793
69, 31, 0.024244
70, 30, 0.024699
71, 29, 0.025155
72, 28, 0.025615
73, 27, 0.026077
74, 26, 0.026542
75, 25, 0.027010
76, 24, 0.027481
77, 23, 0.027954
78, 22, 0.028430
79, 21, 0.028910
80, 20, 0.029392
81, 19, 0.029877
82, 18, 0.030365
83, 17, 0.030856
84, 16, 0.031350
85, 15, 0.031847
86, 14, 0.032347
87, 13, 0.032850
88, 12, 0.033356
89, 11, 0.033866
90, 10, 0.034378
91, 9, 0.034894
92, 8, 0.035413
93, 7, 0.035936
94, 6, 0.036461
95, 5, 0.036990
96, 4, 0.037523
97, 3, 0.038059
98, 2, 0.038598
99, 1, 0.039141
100, 0, 0.039687
